date,q_cms,evap,prec_mean,prec_sum,soilmoist,swe_mean,swe_sum,tmax,tmin,wind,baseflow_mean,runoff_mean,baseflow_sum,runoff_sum
1984-04-19,53.235584,0.4367,1.4470261060248069e-05,0.6009644120931625,584.8619,102.1248,102.1248,0.2232804408737858,0.0632118177070644,0.0445454811418958,0.2319150326797386,0.300869934640523,70.96600000000002,92.06620000000004
1984-04-20,67.96032,0.5343,7.970582182799873e-06,0.3310262486338615,589.5567,98.2472,98.2472,0.1912845827561782,0.0498639569861542,0.0517312516220293,0.2467241830065362,0.158832679738562,75.49760000000008,48.6028
1984-04-21,82.68506,0.305,0.0,0.0,595.4515,91.5686,91.5686,0.1837863279156513,-0.0058180635814686,0.0244520631182882,0.2588882352941176,0.1067986928104575,79.2198,32.680400000000006
1984-04-22,85.51674,0.467,0.0,0.0,598.6297000000001,87.5868,87.5868,0.2113751174253667,0.010521778884611,0.015614126844664,0.2691915032679738,0.0954519607843137,82.37259999999998,29.208299999999998
1984-04-23,88.91475,0.8283,0.0,0.0,606.0718,78.7497,78.7497,0.2458404569397832,0.0308347981016264,0.0083425643384874,0.2782486928104576,0.1114986928104575,85.14410000000002,34.11860000000001
1984-04-24,93.72861,0.1184,0.0,0.0,610.9261000000001,73.977,73.977,0.2405304473948964,0.0526792035404685,0.0280803014632121,0.2877300653594771,0.1383999999999999,88.04539999999999,42.35039999999999
1984-04-25,93.72861,0.9983,0.0047669903987426,197.97787825018167,610.7262999999999,74.0087,74.0087,0.2197091327935535,0.0812414822897385,0.0675230631778134,0.2982176470588237,0.0598045751633986,91.25460000000004,18.300199999999997
1984-04-26,99.1088,1.1347,0.0159133496017016,660.8973223082721,610.5246000000001,73.3239,73.3239,0.1797435652618103,0.0103674363257451,0.0672373671319384,0.3061954248366016,0.0043816993464052,93.69580000000012,1.3408
1984-04-27,102.22365,0.7665,0.0057368040282311,238.25520809646696,610.3211,72.5774,72.5774,0.1555575353589324,0.0245960849119288,0.0310716239921116,0.3115032679738562,0.0128617647058823,95.32,3.935699999999999
1984-04-28,101.374146,0.0731,0.0099832409079364,414.6139781475067,612.2031,70.5524,70.5524,0.1428670150430945,0.0119806891507487,0.0337147835903751,0.3151382352941178,0.0363754901960784,96.43230000000004,11.130900000000004
1984-04-29,101.374146,0.6399,0.0099252031138829,412.2036105226725,612.2391,69.8473,69.8473,0.1623849653381934,0.0031602899055417,0.0256691513064738,0.3180519607843138,0.0171055555555555,97.32390000000004,5.2342999999999975
1984-04-30,100.52464,0.3301,0.0,0.0,615.5455999999999,66.8238,66.8238,0.2105721025250378,-0.0010551154705077,0.0047348982035297,0.3204986928104578,0.0490774509803921,98.0726000000001,15.017699999999996
1984-05-01,100.24147,0.7747,0.0,0.0,621.5529,61.6687,61.6687,0.2176964190735846,0.032658014508165,0.0285704255703972,0.322892156862745,0.0780346405228758,98.80499999999996,23.8786
1984-05-02,91.74643,0.988,0.0,0.0,626.4176,56.6416,56.6416,0.2203491371035194,0.0461568467534109,0.0266292405815645,0.3256006535947711,0.0730251633986928,99.63379999999997,22.3457
1984-05-03,77.30486,0.8902,0.0,0.0,631.7963000000001,52.439,52.439,0.2500654935050311,0.055698153131952,0.0173285919565218,0.3288196078431372,0.0708709150326797,100.6188,21.68650000000001
1984-05-04,74.756355,0.3936,0.0,0.0,639.4816,44.4004,44.4004,0.2639840116783528,0.0726813706135566,0.0339402217758901,0.3325650326797384,0.0863669934640522,101.76489999999995,26.428299999999982
1984-05-05,68.243484,0.4361,0.0,0.0,646.568,39.2472,39.2472,0.261349595028483,0.0938241315644055,0.0377149528061059,0.3370029411764704,0.0627676470588234,103.12289999999996,19.206899999999983
1984-05-06,58.332607,0.7573,0.0,0.0,652.9083,31.5058,31.5058,0.2601350797298788,0.0887074712492115,0.0362541780393498,0.341464705882353,0.0379718954248366,104.48820000000002,11.619400000000004
1984-05-07,55.500927,0.326,0.0,0.0,669.8959,12.8461,12.8461,0.2643690255067668,0.0764775711233333,0.0153810164128808,0.3457800653594772,0.1290581699346405,105.80870000000002,39.491800000000005
1984-05-08,55.500927,0.9701,0.0,0.0,680.6758,0.0,0.0,0.2651301434008438,0.0779104763906789,0.0219547146936358,0.3526532679738561,0.300814705882353,107.91189999999996,92.04930000000002
1984-05-09,55.500927,2.3629,0.0,0.0,677.9174,0.0,0.0,0.296206688387791,0.0944410199901559,0.0052622867170614,0.3688732026143791,0.4693088235294115,112.87520000000002,143.60849999999994
1984-05-10,55.500927,1.5512,0.0,0.0,676.0267,0.0,0.0,0.2934983504624798,0.0851443500264599,0.0282094596981189,0.3995882352941177,0.3419833333333334,122.27400000000002,104.64690000000004
1984-05-11,55.500927,1.5172,0.0,0.0,674.1099,0.0,0.0,0.2931147818303476,0.0907685827237016,0.0158556841405511,0.4316173202614378,0.3161444444444445,132.07489999999996,96.74020000000004
1984-05-12,55.500927,1.8451,9.0413238656865e-06,0.375495221465826,671.8094,0.0,0.0,0.2767272638851504,0.1164809420257422,0.0133852367727656,0.4657787581699345,0.4638826797385623,142.52829999999997,141.94810000000007
1984-05-13,55.500927,2.1965,6.244736880911487e-05,2.5935016740113497,669.4706,0.0,0.0,0.3000399707637031,0.1078457054696091,0.011546027451981,0.5106084967320262,0.4884581699346406,156.24620000000002,149.46820000000002
1984-05-14,61.730625,2.7047,0.0043366528297246,180.10552867129445,668.2235999999999,0.0,0.0,0.2984146785834825,0.1125551997124108,0.0084385460710454,0.5671944444444451,0.7197428104575163,173.5615000000002,220.2413
1984-05-15,78.43754,2.567,0.0172590108803211,716.7839808706194,666.784,0.0,0.0,0.2683287183306884,0.1368512678237066,0.0293342465712096,0.6527794117647059,0.7940480392156863,199.7505,242.97870000000003
1984-05-16,90.89693,1.6197,0.007014406758997,291.31532710790634,665.0929000000001,0.0,0.0,0.2548084567196005,0.1070164457734592,0.0188778247321407,0.7447921568627448,0.2427728758169934,227.9063999999999,74.2885
1984-05-17,97.97613,1.9861,8.546107825306125e-06,0.3549284040927887,662.5921999999999,0.0,0.0,0.263869639649237,0.092452384887603,0.0194203533819381,0.7905679738562095,0.2628287581699345,241.9138000000001,80.42559999999997
