date,q_cms
1939-05-19,0.70792
1939-05-20,0.70792
1939-05-21,0.70792
1939-05-22,0.70792
1939-05-23,1.0760384
1939-05-24,1.0760384
1939-05-25,1.3308896
1939-05-26,4.813856
1939-05-27,9.797613
1939-05-28,13.308896
1939-05-29,17.698
1939-05-30,21.803936
1939-05-31,21.634035
1939-06-01,22.115421
1939-06-02,20.557997
1939-06-03,19.142157
1939-06-04,19.623543
1939-06-05,20.869482
1939-06-06,20.869482
1939-06-07,18.264336
1939-06-08,16.423744
1939-06-09,15.291072
1939-06-10,14.186717
1939-06-11,14.186717
1939-06-12,13.931866
1939-06-13,14.3283
1939-06-14,14.724736
1939-06-15,14.441568
1939-06-16,13.677014
1939-06-17,12.714243
1939-06-18,11.808105
1939-06-19,10.590484
1939-06-20,9.627712
1939-06-21,8.919792
1939-06-22,8.523356
1939-06-23,8.211872
1939-06-24,8.211872
1939-06-25,8.325139
1939-06-26,8.126922
1939-06-27,7.7588034
1939-06-28,7.503952
1939-06-29,7.334051
1939-06-30,7.2491007
1939-07-01,6.9092994
1939-07-02,6.654448
1939-07-03,6.5694976
1939-07-04,6.3995967
1939-07-05,6.229696
1939-07-06,5.946528
1939-07-07,5.521776
1939-07-08,4.813856
1939-07-09,4.672272
1939-07-10,4.8704896
1939-07-11,15.432656
1939-07-12,15.432656
1939-07-13,15.857408
1939-07-14,18.264336
1939-07-15,19.623543
1939-07-16,19.481958
1939-07-17,15.857408
1939-07-18,17.556416
1939-07-19,16.140575
1939-07-20,18.689089
1939-07-21,22.426905
1939-07-22,23.049875
1939-07-23,22.879974
1939-07-24,22.879974
1939-07-25,22.879974
1939-07-26,21.803936
1939-07-27,19.623543
1939-07-28,17.131664
1939-07-29,15.998992
1939-07-30,15.998992
1939-07-31,15.998992
1939-08-01,15.998992
1939-08-02,15.998992
1939-08-03,16.140575
1939-08-04,16.140575
1939-08-05,16.140575
1939-08-06,16.140575
1939-08-07,14.724736
1939-08-08,14.186717
1939-08-09,14.186717
1939-08-10,12.487709
1939-08-11,13.054045
1939-08-12,14.186717
1939-08-13,14.441568
1939-08-14,15.291072
1939-08-15,15.857408
1939-08-16,15.857408
1939-08-17,16.565329
1939-08-18,17.131664
1939-08-19,18.122751
1939-08-20,18.547504
1939-08-21,18.547504
1939-08-22,18.547504
1939-08-23,18.547504
1939-08-24,18.547504
1939-08-25,18.547504
1939-08-26,18.547504
1939-08-27,18.547504
1939-08-28,18.547504
1939-08-29,18.547504
1939-08-30,17.698
1939-08-31,17.273249
1939-09-01,17.981169
1939-09-02,18.264336
1939-09-03,18.689089
1939-09-04,20.388096
1939-09-05,21.350866
1939-09-06,21.180967
1939-09-07,20.869482
1939-09-08,16.99008
1939-09-09,14.3283
1939-09-10,12.714243
1939-09-11,12.261174
1939-09-12,12.261174
1939-09-13,12.261174
1939-09-14,8.041971
1939-09-15,6.824349
1939-09-16,4.813856
1939-09-17,3.3130655
1939-09-18,3.822768
1939-09-19,3.4829664
1939-09-20,3.4829664
1939-09-21,3.5962336
1939-09-22,2.8599968
1939-09-23,5.4368258
1939-09-24,8.608307
1939-09-25,10.024147
1939-09-26,11.355037
1939-09-27,11.355037
1939-09-28,11.355037
1939-09-29,9.627712
1939-09-30,8.523356
1939-10-01,8.834842
1939-10-02,8.919792
1939-10-03,19.312057
1939-10-04,4.530688
1939-10-05,3.5396
1939-10-06,5.1536574
1939-10-07,6.088112
1939-10-08,6.088112
1939-10-09,6.1730623
1939-10-10,6.0031614
1939-10-11,5.946528
1939-10-12,5.8898945
1939-10-13,5.8898945
1939-10-14,5.8898945
1939-10-15,5.8898945
1939-10-16,5.8898945
1939-10-17,5.8898945
1939-10-18,5.8898945
1939-10-19,5.8898945
1939-10-20,5.8898945
1939-10-21,5.946528
1939-10-22,5.946528
1939-10-23,5.946528
1939-10-24,6.3995967
1939-10-25,7.503952
1939-10-26,7.0792
1939-10-27,7.0792
1939-10-28,7.0792
1939-10-29,7.0792
1939-10-30,4.24752
1939-10-31,0.7645536
1939-11-01,0.70792
1939-11-02,0.70792
1939-11-03,0.70792
1939-11-04,0.70792
1939-11-05,0.70792
1939-11-06,0.70792
1939-11-07,0.70792
1939-11-08,0.70792
1939-11-09,0.70792
1939-11-10,0.70792
1939-11-11,0.70792
1939-11-12,0.70792
1939-11-13,0.70792
1939-11-14,0.70792
1939-11-15,0.70792
1939-11-16,0.70792
1939-11-17,0.70792
1939-11-18,0.70792
1939-11-19,0.70792
1939-11-20,0.70792
1939-11-21,0.566336
1939-11-22,0.566336
1939-11-23,0.566336
1939-11-24,0.566336
1939-11-25,0.566336
1939-11-26,0.566336
1939-11-27,0.566336
1939-11-28,0.566336
1939-11-29,0.566336
1939-11-30,0.424752
1939-12-01,0.283168
1939-12-02,0.283168
1939-12-03,0.283168
1939-12-04,0.283168
1939-12-05,0.283168
1939-12-06,0.283168
1939-12-07,0.283168
1939-12-08,0.283168
1939-12-09,0.283168
1939-12-10,0.283168
1939-12-11,0.283168
1939-12-12,0.283168
1939-12-13,0.283168
1939-12-14,0.283168
1939-12-15,0.283168
1939-12-16,0.283168
1939-12-17,0.283168
1939-12-18,0.283168
1939-12-19,0.283168
1939-12-20,0.283168
1939-12-21,0.283168
1939-12-22,0.283168
1939-12-23,0.283168
1939-12-24,0.283168
1939-12-25,0.283168
1939-12-26,0.283168
1939-12-27,0.283168
1939-12-28,0.283168
1939-12-29,0.283168
1939-12-30,0.283168
1939-12-31,0.283168
