date,q_cms
1922-05-20,1568.7507
1922-05-21,1721.6615
1922-05-22,1857.582
1922-05-23,2089.7798
1922-05-24,2234.1956
1922-05-25,2372.9478
1922-05-26,2579.6604
1922-05-27,2695.7593
1922-05-28,2916.6304
1922-05-29,3114.848
1922-05-30,3228.1152
1922-05-31,3284.7488
1922-06-01,3228.1152
1922-06-02,3199.7983
1922-06-03,3029.8977
1922-06-04,2709.9177
1922-06-05,2440.9082
1922-06-06,2299.3242
1922-06-07,2299.3242
1922-06-08,2392.7695
1922-06-09,2506.0369
1922-06-10,2647.6208
1922-06-11,2944.9473
1922-06-12,3058.2144
1922-06-13,3058.2144
1922-06-14,2888.3137
1922-06-15,2823.185
1922-06-16,2806.1948
1922-06-17,2758.0564
1922-06-18,2489.0466
1922-06-19,2251.1855
1922-06-20,2140.75
1922-06-21,2140.75
1922-06-22,2123.76
1922-06-23,2123.76
1922-06-24,2044.4729
1922-06-25,2030.3146
1922-06-26,1951.0275
1922-06-27,1854.7504
1922-06-28,1744.3148
1922-06-29,1616.8893
1922-06-30,1568.7507
1922-07-01,1475.3053
1922-07-02,1381.8599
1922-07-03,1305.4045
1922-07-04,1245.9392
1922-07-05,1203.464
1922-07-06,1036.3949
1922-07-07,985.4246
1922-07-08,931.62274
1922-07-09,883.48413
1922-07-10,798.53375
1922-07-11,764.5536
1922-07-12,707.92
1922-07-13,654.1181
1922-07-14,634.2963
1922-07-15,603.1478
1922-07-16,546.5142
1922-07-17,521.0291
1922-07-18,475.72223
1922-07-19,436.0787
1922-07-20,413.4253
1922-07-21,390.77185
1922-07-22,370.95007
1922-07-23,362.45505
1922-07-24,336.9699
1922-07-25,317.14816
1922-07-26,305.82144
1922-07-27,294.49472
1922-07-28,294.49472
1922-07-29,285.9997
1922-07-30,281.18582
1922-07-31,285.9997
1922-08-01,336.9699
1922-08-02,342.63327
1922-08-03,351.12833
1922-08-04,379.44513
1922-08-05,421.92032
1922-08-06,399.26688
1922-08-07,351.12833
1922-08-08,336.9699
1922-08-09,331.30655
1922-08-10,311.4848
1922-08-11,281.18582
1922-08-12,300.15808
1922-08-13,258.2492
1922-08-14,252.86902
1922-08-15,247.48883
1922-08-16,231.63142
1922-08-17,231.63142
1922-08-18,242.10864
1922-08-19,242.10864
1922-08-20,325.6432
1922-08-21,311.4848
1922-08-22,331.30655
1922-08-23,351.12833
1922-08-24,351.12833
1922-08-25,546.5142
1922-08-26,504.03903
1922-08-27,356.7917
1922-08-28,311.4848
1922-08-29,294.49472
1922-08-30,263.91257
1922-08-31,252.86902
1922-09-01,242.10864
1922-09-02,247.48883
1922-09-03,247.48883
1922-09-04,305.82144
1922-09-05,331.30655
1922-09-06,281.18582
1922-09-07,252.86902
1922-09-08,252.86902
1922-09-09,258.2492
1922-09-10,242.10864
1922-09-11,231.63142
1922-09-12,221.43738
1922-09-13,206.71265
1922-09-14,197.08493
1922-09-15,188.02356
1922-09-16,183.49286
1922-09-17,178.96217
1922-09-18,174.71466
1922-09-19,161.97209
1922-09-20,158.00775
1922-09-21,158.00775
1922-09-22,150.07904
1922-09-23,150.07904
1922-09-24,146.39786
1922-09-25,142.71667
1922-09-26,142.71667
1922-09-27,139.31865
1922-09-28,139.31865
1922-09-29,135.63747
1922-09-30,135.63747
1922-10-01,131.95628
1922-10-02,128.55827
1922-10-03,128.55827
1922-10-04,128.55827
1922-10-05,131.95628
1922-10-06,131.95628
1922-10-07,135.63747
1922-10-08,135.63747
1922-10-09,131.95628
1922-10-10,128.55827
1922-10-11,128.55827
1922-10-12,128.55827
1922-10-13,125.160255
1922-10-14,125.160255
1922-10-15,128.55827
1922-10-16,128.55827
1922-10-17,128.55827
1922-10-18,128.55827
1922-10-19,128.55827
1922-10-20,128.55827
1922-10-21,135.63747
1922-10-22,135.63747
1922-10-23,135.63747
1922-10-24,135.63747
1922-10-25,135.63747
1922-10-26,135.63747
1922-10-27,139.31865
1922-10-28,139.31865
1922-10-29,146.39786
1922-10-30,146.39786
1922-10-31,146.39786
1922-11-01,146.39786
1922-11-02,150.07904
1922-11-03,158.00775
1922-11-04,170.46713
1922-11-05,183.49286
1922-11-06,183.49286
1922-11-07,183.49286
1922-11-08,188.02356
1922-11-09,197.08493
1922-11-10,201.89879
1922-11-11,201.89879
1922-11-12,197.08493
1922-11-13,197.08493
1922-11-14,197.08493
1922-11-15,201.89879
1922-11-16,201.89879
1922-11-17,206.71265
1922-11-18,206.71265
1922-11-19,197.08493
1922-11-20,188.02356
1922-11-21,183.49286
1922-11-22,183.49286
1922-11-23,188.02356
1922-11-24,192.55424
1922-11-25,197.08493
1922-11-26,197.08493
1922-11-27,197.08493
1922-11-28,201.89879
1922-11-29,197.08493
1922-11-30,197.08493
1922-12-01,201.89879
1922-12-02,188.02356
1922-12-03,201.89879
1922-12-04,201.89879
1922-12-05,197.08493
1922-12-06,192.55424
1922-12-07,188.02356
1922-12-08,197.08493
1922-12-09,201.89879
1922-12-10,201.89879
1922-12-11,197.08493
1922-12-12,192.55424
1922-12-13,188.02356
1922-12-14,192.55424
1922-12-15,178.96217
1922-12-16,174.71466
1922-12-17,166.21962
1922-12-18,174.71466
1922-12-19,197.08493
1922-12-20,201.89879
1922-12-21,201.89879
1922-12-22,201.89879
1922-12-23,201.89879
1922-12-24,183.49286
1922-12-25,170.46713
1922-12-26,139.31865
1922-12-27,139.31865
1922-12-28,139.31865
1922-12-29,139.31865
1922-12-30,150.07904
1922-12-31,158.00775
1923-01-01,161.97209
1923-01-02,166.21962
1923-01-03,178.96217
1923-01-04,161.97209
1923-01-05,154.0434
1923-01-06,166.21962
1923-01-07,146.39786
1923-01-08,150.07904
1923-01-09,150.07904
1923-01-10,158.00775
1923-01-11,170.46713
1923-01-12,174.71466
1923-01-13,170.46713
1923-01-14,174.71466
1923-01-15,178.96217
1923-01-16,183.49286
1923-01-17,183.49286
1923-01-18,178.96217
1923-01-19,177.26317
1923-01-20,177.26317
1923-01-21,177.26317
1923-01-22,172.44931
1923-01-23,172.44931
1923-01-24,172.44931
1923-01-25,177.26317
1923-01-26,177.26317
1923-01-27,182.3602
1923-01-28,187.45721
1923-01-29,182.3602
1923-01-30,177.26317
1923-01-31,177.26317
1923-02-01,177.26317
1923-02-02,172.44931
1923-02-03,172.44931
1923-02-04,172.44931
1923-02-05,172.44931
1923-02-06,172.44931
1923-02-07,167.63545
1923-02-08,152.91072
1923-02-09,148.09686
1923-02-10,148.09686
1923-02-11,143.283
1923-02-12,143.283
1923-02-13,143.283
1923-02-14,148.09686
1923-02-15,148.09686
1923-02-16,152.91072
1923-02-17,162.53844
1923-02-18,167.63545
1923-02-19,172.44931
1923-02-20,177.26317
1923-02-21,192.55424
1923-02-22,192.55424
1923-02-23,197.65126
1923-02-24,197.65126
1923-02-25,202.74829
1923-02-26,207.8453
1923-02-27,213.22551
1923-02-28,213.22551
1923-03-01,213.22551
1923-03-02,207.8453
1923-03-03,207.8453
1923-03-04,197.65126
1923-03-05,197.65126
1923-03-06,197.65126
1923-03-07,207.8453
1923-03-08,223.98589
1923-03-09,223.98589
1923-03-10,213.22551
1923-03-11,202.74829
1923-03-12,202.74829
1923-03-13,202.74829
1923-03-14,213.22551
1923-03-15,223.98589
1923-03-16,218.6057
1923-03-17,218.6057
1923-03-18,218.6057
1923-03-19,218.6057
1923-03-20,218.6057
1923-03-21,207.8453
1923-03-22,202.74829
1923-03-23,197.65126
1923-03-24,197.65126
1923-03-25,197.65126
1923-03-26,197.65126
1923-03-27,192.55424
1923-03-28,187.45721
1923-03-29,187.45721
1923-03-30,182.3602
1923-03-31,197.65126
1923-04-01,246.073
1923-04-02,370.95007
1923-04-03,455.90048
1923-04-04,549.34595
1923-04-05,597.4845
1923-04-06,588.98944
