date,q_cms,prec_mean,prec_sum,tmax,tmin,wind,Nat-09109000
1966-04-26,19.255424,0.0,0.0,0.1331578822320892,-0.0167530278615675,0.0261324819209949,9960.0
1966-04-27,21.860569,0.0,0.0,0.1261175989011064,0.0030085960388418,0.0263314470503453,9960.0
1966-04-28,20.954432,0.0,0.0,0.1185878018526197,-0.0315325901187481,0.0164830777834038,9960.0
1966-04-29,18.122751,0.0006762165793291,28.0839507561177,0.1355541643775237,-0.010024800758508,0.0218332850704306,9960.0
1966-04-30,19.11384,0.0030148239988248,125.20865549519658,0.1322084707808624,0.0009128120950402,0.0045817217832354,9960.0
1966-05-01,21.690668,0.0010461781144971,43.44882327318192,0.134860706106605,-0.0191199344938445,0.0074961836038778,30437.0
1966-05-02,18.462553,0.0,0.0,0.1404180008229965,-0.0086178998564552,0.0163938422748548,30437.0
1966-05-03,13.025728,0.0,0.0,0.14635332700034,-0.0192598299549439,0.0121643968804296,30437.0
1966-05-04,14.045133,0.0,0.0,0.1505085353443037,-0.0115542607083017,0.011956631114012,30437.0
1966-05-05,19.963345,0.0,0.0,0.1607765278950901,-0.0100919795019075,0.0078796824760002,30437.0
1966-05-06,31.14848,0.0,0.0,0.1699087429016779,0.0048862295649314,0.0039830863381077,30437.0
1966-05-07,33.130657,8.228445492769337e-06,0.3417355697602033,0.1757126003751368,0.0158736847476685,0.0124137555002026,30437.0
1966-05-08,33.69699,0.0001746524296752,7.253490056842565,0.1743100333881454,0.0116455178276026,0.0187814298203889,30437.0
1966-05-09,31.431648,0.0016236599266191,67.43222041241825,0.1624485327338607,0.0476533191324368,0.0182744625149694,30437.0
1966-05-10,29.73264,0.0043395063471526,180.22403810359535,0.1396795166830166,0.035558980109618,0.0240140063887066,30437.0
1966-05-11,12.5726595,0.0018017387401474,74.82801161706448,0.114144374259285,0.0201153355261287,0.0282537736181078,30437.0
1966-05-12,9.854246,0.0049251424656509,204.5460917409509,0.1016842841022792,0.0085733548333811,0.0084311557549193,30437.0
1966-05-13,6.116429,0.0,0.0,0.108362186899686,-0.0317456840706638,0.0073839820228406,30437.0
1966-05-14,5.097024,0.0,0.0,0.1350603165178404,-0.0209205172003744,0.0143909820174215,30437.0
1966-05-15,7.8720703,0.0,0.0,0.1511979004003245,0.002193783013805,0.0280319745264317,30437.0
1966-05-16,9.061376,0.0,0.0,0.1505771592506617,0.0092167296487874,0.0251781275682774,30437.0
1966-05-17,8.891475,0.0,0.0,0.1584459807560418,-0.0028188582053636,0.0239845083770858,30437.0
1966-05-18,11.439987,0.0,0.0,0.1585088249794945,0.0061522718289432,0.0102558753402672,30437.0
1966-05-19,10.8736515,0.0,0.0,0.1612715805519216,-0.016586164558011,0.0039093805003546,30437.0
1966-05-20,6.512864,0.0001483273465871,6.160183031111956,0.165149165716532,0.0024692398654941,0.013482645527506,30437.0
1966-05-21,7.3906846,0.0007809201495251,32.43239472992718,0.1615634104038501,0.0126724615556301,0.020058054005608,30437.0
1966-05-22,6.9092994,0.0005438370197212,22.58609526604414,0.1541544871144146,0.0213423707715058,0.0301220969453897,30437.0
1966-05-23,7.7021694,0.0,0.0,0.1579453901243268,0.0379220342080548,0.0218791362336901,30437.0
1966-05-24,9.1746435,0.0005480758419287,22.762137791141868,0.1639481351353248,0.0097758301064924,0.0041986200467388,30437.0
1966-05-25,10.760384,0.0055526871205833,230.60864880494773,0.1633040374497204,0.031523681177999,0.0123674757191115,30437.0
1966-05-26,24.748882,0.0145749178570208,605.3109135199338,0.159712263272036,0.0260574029206609,0.0079402823666444,30437.0
1966-05-27,36.245502,0.0074517184755479,309.47732000797987,0.1559382152059077,0.0141048855280001,0.0043911815022599,30437.0
1966-05-28,46.156384,0.0006661194524359,27.6646069791168,0.158763574487839,0.0134805326479042,0.0018247752590224,30437.0
1966-05-29,46.72272,0.0027436657561219,113.94718251749872,0.1717574824140095,0.0167142616069172,0.0067507121737533,30437.0
1966-05-30,49.271233,0.0198457745761587,824.214863922447,0.178858925084881,0.0173451156966044,0.0099304924492074,30437.0
1966-05-31,54.368256,0.03810241287051,1582.4313089251518,0.1491481063367715,0.0366396186083292,0.0171318901187664,30437.0
1966-06-01,48.704895,0.0121261139397903,503.6096380334348,0.1356928560546704,0.0300927018119154,0.0219159796857313,24294.0
1966-06-02,72.77418,0.0057356498796162,238.20727515034375,0.1570619538260276,0.0126084130196731,0.0175814461545605,24294.0
1966-06-03,57.483105,0.0,0.0,0.168106956378141,0.0045151814403703,0.0193740204014304,24294.0
1966-06-04,17.896217,0.0,0.0,0.1638982922591514,0.0107847150616646,0.0262916237593058,24294.0
1966-06-05,16.19721,0.0,0.0,0.1588302712055746,0.0231672726643857,0.0170364625873424,24294.0
1966-06-06,14.384934,4.300249760708508e-06,0.178593672811985,0.1616688734968812,0.0254253449303674,0.0076040982861369,24294.0
1966-06-07,12.006323,8.908925572033176e-05,3.6999658793210974,0.1662830172661815,0.028720955395285,0.0277831594196154,24294.0
1966-06-08,12.685926,0.0006174576325897,25.643632939085364,0.1538867356617541,0.0145597264306271,0.0172358375020341,24294.0
1966-06-09,11.100185,0.0091959275984292,381.9160690903664,0.1579921025991732,0.0191750740428125,0.0206896570903348,24294.0
1966-06-10,12.5726595,0.0311657487145926,1294.3447098657489,0.1507245193040189,0.028677132703542,0.0140039365046064,24294.0
1966-06-11,11.100185,0.004041368836265,167.84208913892508,0.1591418457968138,0.0230762563344092,0.0248530141933731,24294.0
1966-06-12,11.213452,0.0,0.0,0.1720861522792773,0.0216951193707535,0.0201520174135379,24294.0
1966-06-13,11.893056,0.0,0.0,0.1803233730454582,0.0170662877914138,0.0145544974023356,24294.0
1966-06-14,10.760384,0.0,0.0,0.1895995764093876,0.0151751703196527,0.0079008433634596,24294.0
1966-06-15,10.477216,0.0004116941157478,17.09806832112372,0.1919012304153877,0.0257730370413044,0.0124468819106679,24294.0
1966-06-16,9.457811,0.0023521987635168,97.68916684761643,0.1849721889877494,0.0392855939007216,0.0031755166072888,24294.0
1966-06-17,9.1746435,0.0025768675891286,107.0198878441006,0.1796161903468974,0.0371573040900207,0.0084370678766443,24294.0
1966-06-18,8.778208,0.000227950304992,9.467004116624594,0.1825544772883291,0.0359502540087419,0.0081538496293355,24294.0
1966-06-19,7.8720703,0.0103610390974188,430.3043147549033,0.1892533290940468,0.0346952878536681,0.0093210120178262,24294.0
1966-06-20,7.9853377,0.0458562733384709,1904.4568880200384,0.1807086270663393,0.0637971634828181,0.0126400245082464,24294.0
1966-06-21,18.57582,0.0246015787644888,1021.728167667985,0.1563598277300093,0.0514218294342949,0.0135998111345138,24294.0
1966-06-22,47.572224,0.0001156331862707,4.80236185900867,0.1712523178380182,0.0474187955301538,0.023617831538533,24294.0
1966-06-23,47.855392,4.838242459867235e-06,0.2009370476007461,0.1826469387125996,0.0419279573906975,0.0210932362234907,24294.0
1966-06-24,45.30688,4.006589856310458e-06,0.1663976833224296,0.1932472126497293,0.0375488189398375,0.0238870728733778,24294.0
1966-06-25,41.05936,0.0052127097401096,216.48904821649197,0.2049996389195368,0.0318949700313825,0.0135515275632662,24294.0
1966-06-26,40.77619,0.031135497857422,1293.088361516595,0.1797430833842843,0.0604456911791769,0.0202044961092597,24294.0
1966-06-27,37.661343,0.0483659065442523,2008.684464689344,0.1804478580500296,0.048665815835937,0.0101256401774046,24294.0
1966-06-28,31.431648,0.026943293087844,1118.9819052312523,0.1818928030711698,0.0507926609505179,0.0088887230447673,24294.0
1966-06-29,25.598387,0.0255542776924175,1061.2947068437934,0.1720351063511401,0.0654629073237497,0.011650100096711,24294.0
1966-06-30,19.538591,0.0343867142330827,1428.1146288141608,0.1607649709403892,0.0713813778684208,0.0137994588375814,24294.0
1966-07-01,15.857408,0.0063256847308143,262.7120125554502,0.1689947273008415,0.0477207387680006,0.020791957450204,12056.0
1966-07-02,15.517607,0.0,0.0,0.1843259251610548,0.0399215045106973,0.0148526072797784,12056.0
1966-07-03,15.064538,0.0,0.0,0.1935262812090679,0.0480958802382407,0.0173200312248847,12056.0
1966-07-04,14.95127,5.0237929256843405e-06,0.2086431439965963,0.2052856907878184,0.0377443356441758,0.01204948992076,12056.0
1966-07-05,14.724736,2.5151818197768e-05,1.044580161571503,0.2116455176773837,0.0540685270779316,0.0136769481875338,12056.0
1966-07-06,14.384934,0.0,0.0,0.2171796971065964,0.0441742312546219,0.0080892557682324,12056.0
1966-07-07,12.232858,0.0,0.0,0.2168500636240544,0.0663802941326391,0.0153573698405168,12056.0
1966-07-08,10.080781,0.0,0.0,0.2061939273027861,0.0821764463807842,0.0149135276241439,12056.0
1966-07-09,9.967514,0.0013649245043131,56.6866795886308,0.2120310135440643,0.0470222244858354,0.0084783371174373,12056.0
1966-07-10,9.854246,0.0064979663705306,269.86704133450985,0.2076851027605061,0.0857491994850761,0.0115305150959677,12056.0
1966-07-11,9.769296,0.0049210994776785,204.37818240746856,0.1962025959674113,0.0701776983960054,0.0157093911008955,12056.0
1966-07-12,8.49504,0.0044345742104811,184.17230153549465,0.1945797115903767,0.0656136379938639,0.0111207305066105,12056.0
1966-07-13,8.268506,0.0084379064144555,350.434691298753,0.1935243552145189,0.0689436808238897,0.0133366155858611,12056.0
1966-07-14,8.664941,0.0093419359632422,387.9799424894154,0.1965921837860274,0.061949146465294,0.0099221249134879,12056.0
1966-07-15,8.098605,0.010705189315612,444.5972174666822,0.2011304805608927,0.0834906455487732,0.0063227917442446,12056.0
1966-07-16,7.9853377,0.0245903106432119,1021.2601913232356,0.2032628639546163,0.0648164022827368,0.0115855606018295,12056.0
1966-07-17,8.183556,0.0050454136518429,209.54107437469065,0.2057549780492265,0.0749758012932393,0.0068105402092916,12056.0
1966-07-18,8.183556,0.0126529379538428,525.4891661610454,0.2067407480495997,0.0806544507621343,0.005904181693435,12056.0
1966-07-19,8.098605,0.0298948267340266,1241.5620490908625,0.2038082391836667,0.0723368086094647,0.0076918828634072,12056.0
1966-07-20,8.183556,0.0596815568144541,2478.634736061096,0.1916060291429989,0.0731976112684815,0.006277638192565,12056.0
1966-07-21,7.9853377,0.0497911964229419,2067.8781786412,0.1803508224518534,0.0833712167908186,0.0091038164524479,12056.0
1966-07-22,8.381773,0.0170409924515433,707.7294575050473,0.1874337242390814,0.0797760709286,0.0069387830204176,12056.0
1966-07-23,8.381773,0.0031186174166276,129.51929992996156,0.195727769628898,0.0859630156388872,0.0057771198640066,12056.0
1966-07-24,8.49504,0.0027454131803142,114.0197547916323,0.1956545713649306,0.075217307562579,0.0119161419519317,12056.0
1966-07-25,8.381773,0.0012111020574077,50.29827954620123,0.2028617175968557,0.0785762440882452,0.0117845058596162,12056.0
1966-07-26,8.183556,0.0044669250121381,185.51586267910895,0.2114875634828966,0.0816146973276984,0.0150827455995962,12056.0
1966-07-27,12.006323,0.011351849114805,471.45364558696747,0.2120757985088069,0.0791408827416727,0.0103221265624023,12056.0
1966-07-28,9.2312765,0.0124395242957573,516.6258835271001,0.2030391758330015,0.0832231345182093,0.004384699689814,12056.0
1966-07-29,8.268506,0.0241647648052414,1003.586847126484,0.1942753604546216,0.0774337242886814,0.0045978961474907,12056.0
1966-07-30,7.9853377,0.033953407756059,1410.1189775168896,0.1815821913164645,0.0913529650831069,0.0112393910820962,12056.0
1966-07-31,7.8720703,0.0040149843718828,166.74631594866514,0.1932272279475811,0.0863981122144603,0.013452298917162,12056.0
1966-08-01,7.78712,0.0303100497409583,1258.8066757917404,0.208154149921299,0.0839705281109403,0.0109556920322147,7612.0
1966-08-02,7.8720703,0.0788654961350858,3275.362919986248,0.2010642653762388,0.0869844212458217,0.0141415991171983,7612.0
1966-08-03,8.381773,0.0290588036404507,1206.841173991561,0.1804972192094177,0.0859317138645054,0.0101532934460081,7612.0
